bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P23396	Small ribosomal subunit protein uS3		GO:0051879		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11760	protein	UniProtKB:P23396	PMID:23911537	20150929	RPS3	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:O15354	Prosaposin receptor GPR37		GO:0030544		ParkinsonsUK-UCL	NCBITaxon:9606	IPI	UniProtKB:P11142	PANTHER:PTHR46216	protein	UniProtKB:O15354	PMID:12150907	20140813	GPR37	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:O15354	Prosaposin receptor GPR37		GO:0031072		ParkinsonsUK-UCL	NCBITaxon:9606	IPI	UniProtKB:P31689	PANTHER:PTHR46216	protein	UniProtKB:O15354	PMID:12150907	20140813	GPR37	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:Q99543	DnaJ homolog subfamily C member 2		GO:0030544		InterPro	NCBITaxon:9606	IEA	InterPro:IPR044634	PANTHER:PTHR43999	protein	UniProtKB:Q99543	GO_REF:0000002	20250429	DNAJC2	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:Q99543	DnaJ homolog subfamily C member 2		GO:0030544		UniProt	NCBITaxon:9606	IPI	UniProtKB:Q0VDF9	PANTHER:PTHR43999	protein	UniProtKB:Q99543	PMID:16002468	20110120	DNAJC2	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:Q99543	DnaJ homolog subfamily C member 2		GO:0030544		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001181375,UniProtKB:Q99543	PANTHER:PTHR43999	protein		GO_REF:0000033	20210811	DNAJC2	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:Q02218	2-oxoglutarate dehydrogenase complex component E1		GO:0031072		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q5XI78,ensembl:ENSRNOP00000054026	PANTHER:PTHR23152	protein	UniProtKB:Q02218	GO_REF:0000107	20250313	OGDH	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:Q15785	Mitochondrial import receptor subunit TOM34		GO:0031072		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR45984	protein	UniProtKB:Q15785	PMID:9660753	20090511	TOMM34	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:Q15785	Mitochondrial import receptor subunit TOM34		GO:0031072		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002505448,UniProtKB:Q15785	PANTHER:PTHR45984	protein		GO_REF:0000033	20190815	TOMM34	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:P06493	Cyclin-dependent kinase 1		GO:0030544		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P11440,ensembl:ENSMUSP00000020099	PANTHER:PTHR24056	protein	UniProtKB:P06493	GO_REF:0000107	20250313	CDK1	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
